NomePlanilha;DataUltimaCompra;Grupo;Material;Quantidade;UnidadeMedida;ValorUnitario;ValorTotalItem
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/8"" (60m)";13,40;kg;75,00;1.005,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 5/8"" (30m)";11,50;kg;75,00;862,50
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/4"" (30m)";13,90;kg;75,00;1.042,50
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 3/8""";74,00;m;1,37;101,38
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 5/8""";38,00;m;1,69;64,22
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 3/4""";38,00;m;1,94;73,72
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Caixa de passagem para split. Ref: Polar;1,00;pç;18,00;18,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás nitrogênio;1,00;unid.;180,00;180,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás acetileno;1,00;unid.;100,00;100,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás Oxigenio;1,00;unid.;100,00;100,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Proteção mecânica em plastico hospitalar branco liso 0,10mmx50m (10cm);1,00;pç;30,00;30,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás R410a. Ref.: EOS (SPLIT);5,00;kg;75,00;375,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Fita prata para junção do isolamento em polietileno;8,00;un;5,00;40,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Conjunto de calço de borracha ou suporte tipo mão francesa;2,00;cj;60,00;120,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Materiais diversos (suportes, fixações, parafusos, porcas, arruelas, fitas, etc.);40,00;cj;8,00;320,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTOS / DIFUSÃO DE AR;Coifa em Inox chapa 450x1200 #22;2,00;chapa;1.099,00;2.198,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTOS / DIFUSÃO DE AR;GRADE EM PLÁSTICO ABS PARA DESCARGA DE AR. REF.: SICFLUX S200;2,00;pc;16,40;32,80
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTOS / DIFUSÃO DE AR;DIFUSOR CIRCULAR, EM PLÁSTICO Ø200 MM. REF: SICFLUX RVA 200;6,00;Unid.;94,24;565,44
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTOS / DIFUSÃO DE AR;Tubo em PVC 200mm - barra 6m;12,00;barra;230,00;2.760,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTOS / DIFUSÃO DE AR;Curva PVC 200mm;8,00;pc;120,00;960,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTO;Suportes para tubo de PVC (Chumbador, porca, arruela, barra roscada, ferro chato).;56,00;cj.;10,00;560,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTO;Chapa de aço galvanizado #26. Ref.: GUERDAU;37,00;kg;13,00;481,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTO;Isolamento em lã de vidro;9,00;m²;16,00;144,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;CONTROLE E ELÉTRICA;Cabo elétrico 1,5mm²;500,00;m;0,96;480,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTO;Quadro de comando para as coifas;1,00;vb;1.000,00;1.000,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/8"" (60m)";16,00;kg;70,73;1.131,68
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 5/8"" (30m)";11,00;kg;70,73;778,03
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 7/8"" (30m)";15,00;kg;70,73;1.060,95
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 3/8""";68,00;m;1,55;105,40
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 5/8""";34,00;m;2,31;78,54
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 7/8""";34,00;m;3,00;102,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Caixa de passagem para split. Ref: Polar;1,00;pç;18,00;18,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás nitrogênio;1,00;unid.;180,00;180,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás acetileno;1,00;unid.;100,00;100,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás Oxigenio;1,00;unid.;100,00;100,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Proteção mecânica em plastico hospitalar branco liso 0,10mmx50m (10cm);1,00;pç;30,00;30,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás R410a. Ref.: EOS (SPLIT);16,57;kg;43,70;724,11
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Gás R32;5,00;kg;100,70;503,50
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Fita prata para junção do isolamento em polietileno;8,00;un;5,00;40,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Conjunto de calço de borracha ou suporte tipo mão francesa;2,00;cj;60,00;120,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;REDE FRIGORIGENA;Materiais diversos (suportes, fixações, parafusos, porcas, arruelas, fitas, etc.);40,00;cj;8,00;320,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTOS / DIFUSÃO DE AR;Coifa em Inox chapa 450x1200 #22;2,00;chapa;1.099,00;2.198,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTOS / DIFUSÃO DE AR;GRADE EM PLÁSTICO ABS PARA DESCARGA DE AR. REF.: SICFLUX S200;2,00;pc;17,55;35,10
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTOS / DIFUSÃO DE AR;DIFUSOR CIRCULAR, EM PLÁSTICO Ø200 MM. REF: SICFLUX RVA 200;6,00;Unid.;100,84;605,04
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTOS / DIFUSÃO DE AR;Tubo em PVC 200mm - barra 6m;11,00;barra;220,00;2.420,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTOS / DIFUSÃO DE AR;Curva PVC 200mm;12,00;pc;80,00;960,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTO;Suportes para tubo de PVC (Chumbador, porca, arruela, barra roscada, ferro chato).;56,00;cj.;10,00;560,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTO;Chapa de aço galvanizado #26. Ref.: GUERDAU;37,00;kg;13,00;481,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTO;Isolamento em lã de vidro;9,00;m²;16,00;144,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;CONTROLE E ELÉTRICA;Cabo elétrico 1,5mm²;500,00;m;0,96;480,00
AC17723 - ORÇAMENTO SOS CARDIO CME (1);02/12/2024;DUTO;Quadro de comando para as coifas;1,00;vb;1.000,00;1.000,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/8"" (m)";6,00;kg;85,00;510,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/4"" (m)";12,50;kg;85,00;1.062,50
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 3/8""";34,00;m;1,53;52,02
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 3/4""";34,00;m;2,14;72,76
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;Gás nitrogênio;1,00;unid.;180,00;180,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;Gás acetileno;1,00;unid.;100,00;100,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;Gás Oxigenio;1,00;unid.;100,00;100,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;Proteção mecânica em plastico hospitalar branco liso 0,10mmx50m (10cm);2,00;pç;30,00;60,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;Gás R410a. Ref.: EOS (SPLIT);6,00;kg;75,00;450,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;Fita prata para junção do isolamento em polietileno;5,00;un;5,00;25,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;Conjunto de calço de borracha ou suporte tipo mão francesa;2,00;cj;60,00;120,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;Materiais diversos (suportes, fixações, parafusos, porcas, arruelas, fitas, etc.);23,00;cj;20,00;460,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;DUTOS / DIFUSÃO DE AR;Chapa de aço galvanizado #26. Ref.: GUERDAU;33,00;kg;13,00;429,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;DUTOS / DIFUSÃO DE AR;Isolamento em ELASTÔMERO;1,00;rolo;1.960,00;1.960,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;DUTOS;GRELHA PARA INSUFLAMENTO, SIMPLES DEFLEXÃO, ALETAS VERTICAIS, COM REGISTRO. REF.: TROPICAL DV+RG-300X150;8,00;pç;286,90;2.295,20
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;DUTO;Cabo elétrico 1,5mm²;81,00;m;1,60;129,60
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/8"" (m)";6,94;kg;71,45;495,86
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/4"" (m)";14,50;kg;71,45;1.036,03
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 3/8""";34,00;m;1,53;52,02
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 3/4""";34,00;m;2,42;82,28
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;Gás nitrogênio;1,00;unid.;180,00;180,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;Gás acetileno;1,00;unid.;100,00;100,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;Gás Oxigenio;1,00;unid.;100,00;100,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;Proteção mecânica em plastico hospitalar branco liso 0,10mmx50m (10cm);2,00;pç;30,00;60,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;Gás R410a. Ref.: EOS (SPLIT);6,00;kg;45,00;270,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;Fita prata para junção do isolamento em polietileno;5,00;un;5,00;25,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;Conjunto de calço de borracha ou suporte tipo mão francesa;2,00;cj;109,01;218,02
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;REDE FRIGORIGENA;Materiais diversos (suportes, fixações, parafusos, porcas, arruelas, fitas, etc.);23,00;cj;20,00;460,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;DUTOS / DIFUSÃO DE AR;Chapa de aço galvanizado #26. Ref.: GUERDAU;33,00;kg;13,00;429,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;DUTOS / DIFUSÃO DE AR;Isolamento em ELASTÔMERO;1,00;rolo;1.960,00;1.960,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;DUTOS;GRELHA PARA INSUFLAMENTO, SIMPLES DEFLEXÃO, ALETAS VERTICAIS, COM REGISTRO. REF.: TROPICAL DV+RG-300X150;8,00;pç;118,75;950,00
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;DUTO;Cabo elétrico 1,5mm²;81,00;m;0,91;73,71
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;DUTO;Eletrocalha 100 x 100 x 3m;2,00;pç;146,59;293,18
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;DUTO;Eletrocalha 150 x 100 x 3m;1,00;pç;257,30;257,30
ACTIVE TRADE - (NOVA SALA 2) - AC09423;14/08/2023;DUTO;Curba 90° 150 x 100;1,00;pç;91,48;91,48
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/8"" (10m)";2,22;kg;85,00;188,70
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;"Tubo de cobre diâmetro 7/8"" (10m)";5,44;kg;85,00;462,40
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 3/8""";14,00;m;1,60;22,40
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 7/8""";14,00;m;3,00;42,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;Gás nitrogênio;1,00;unid.;180,00;180,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;Gás acetileno;1,00;unid.;100,00;100,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;Gás Oxigenio;1,00;unid.;100,00;100,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;Proteção mecânica em plastico hospitalar branco liso 0,10mmx50m (10cm);1,00;pç;30,00;30,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;Gás R410a. Ref.: EOS (SPLIT);5,00;kg;70,00;350,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;Fita prata para junção do isolamento em polietileno;1,00;un;5,00;5,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;Conjunto de calço de borracha ou suporte tipo mão francesa;1,00;cj;60,00;60,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;Materiais diversos (suportes, fixações, parafusos, porcas, arruelas, fitas, etc.);7,00;cj;20,00;140,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;DUTOS / DIFUSÃO DE AR;Chapa de aço galvanizado #24. Ref.: GUERDAU;17,00;kg;13,00;221,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;DUTOS / DIFUSÃO DE AR;Isolamento em lã de vidro;4,00;m²;14,00;56,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;DUTOS / DIFUSÃO DE AR;Grelha simples deflexão, aletas horizontais. Ref.: TROPICAL SH - 1500x300;1,00;pç;600,00;600,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;DUTO;Cabo elétrico 1,5mm²;50,00;m;1,10;55,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/8"" (10m)";2,22;kg;74,70;165,83
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;"Tubo de cobre diâmetro 7/8"" (10m)";5,44;kg;74,70;406,37
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 3/8""";14,00;m;1,60;22,40
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;"Isolamento em tubo de polietileno blindado inverter, para tubulação de 7/8""";14,00;m;3,00;42,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;Gás nitrogênio;1,00;unid.;180,00;180,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;Gás acetileno;1,00;unid.;100,00;100,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;Gás Oxigenio;1,00;unid.;100,00;100,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;Proteção mecânica em plastico hospitalar branco liso 0,10mmx50m (10cm);1,00;pç;30,00;30,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;Gás R410a. Ref.: EOS (SPLIT);5,00;kg;70,00;350,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;Fita prata para junção do isolamento em polietileno;1,00;un;5,00;5,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;Conjunto de calço de borracha ou suporte tipo mão francesa;1,00;cj;60,00;60,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;REDE FRIGORIGENA;Materiais diversos (suportes, fixações, parafusos, porcas, arruelas, fitas, etc.);7,00;cj;20,00;140,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;DUTOS / DIFUSÃO DE AR;Chapa de aço galvanizado #24. Ref.: GUERDAU;17,00;kg;13,00;221,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;DUTOS / DIFUSÃO DE AR;Isolamento em lã de vidro;4,00;m²;14,00;56,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;DUTOS / DIFUSÃO DE AR;Grelha Dupla deflexão, aletas horizontais. Ref.: TROPICAL DV - 1600x300;1,00;pç;490,00;490,00
AEMFLO - (AMPLIAÇÃO) - AC04323;26/10/2023;DUTO;Cabo elétrico 1,5mm²;50,00;m;1,05;52,50
AEMFLO - 3 PAVTO - AC01224;10/07/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/8"" (5m)";1,17;kg;75,00;87,75
AEMFLO - 3 PAVTO - AC01224;10/07/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 5/8"" (5m)";2,02;kg;75,00;151,50
AEMFLO - 3 PAVTO - AC01224;10/07/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 3/8""";6,00;m;9,41;56,46
AEMFLO - 3 PAVTO - AC01224;10/07/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 5/8""";6,00;m;11,07;66,42
AEMFLO - 3 PAVTO - AC01224;10/07/2024;REDE FRIGORIGENA;Gás Acetileno;1,00;unid;100,00;100,00
AEMFLO - 3 PAVTO - AC01224;10/07/2024;REDE FRIGORIGENA;Gás oxigenio;1,00;unid;100,00;100,00
AEMFLO - 3 PAVTO - AC01224;10/07/2024;DUTOS / DIFUSÃO DE AR;"GRELHA DE INSUFLAMENTO ""DUPLA DEFLEXÃO"" COM REGISTRO DE VAZÃO.
DIM:425X165MM. REF: VAT-DG, TROX";28,00;pc;220,00;6.160,00
AEMFLO - 3 PAVTO - AC01224;10/07/2024;DUTOS / DIFUSÃO DE AR;"DIFUSOR DE INSUFLAMENTO ""4 DIREÇÕES"" COM CAIXA PLENO E REGISTRO DE VAZÃO. TAMANHO 3. REF: ADLQ-AG, TROX";4,00;pc;400,00;1.600,00
AEMFLO - 3 PAVTO - AC01224;10/07/2024;DUTOS / DIFUSÃO DE AR;REGISTRO BORBOLETA Ø150mm PARA CONTROLE DE VAZÃO;4,00;pc;50,00;200,00
AEMFLO - 3 PAVTO - AC01224;10/07/2024;DUTOS / DIFUSÃO DE AR;GRELHA COM REGISTRO CENTRAL EM PVC Ø200MM. REF:VENTIDEC DVK 200, MULTIVAC;6,00;pc;121,25;727,50
AEMFLO - 3 PAVTO - AC01224;10/07/2024;DUTO;Isolamento interno em polietileno 5mm (primeiros 5m);51,00;m²;8,00;408,00
AEMFLO - 3 PAVTO - AC01224;10/07/2024;DUTO;Materiais diversos (suportes, fixações, parafusos, porcas, arruelas, fitas, etc.);1,00;vb;500,00;500,00
AEMFLO - 3 PAVTO - AC01224;10/07/2024;CONTROLE E ELÉTRICA;Cabo BUS (Cabo blindado 3x18 AWG) (VRF);6,00;m;10,50;63,00
AEMFLO - 3 PAVTO - AC01224;10/07/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/8"" (5m)";1,17;kg;75,00;87,75
AEMFLO - 3 PAVTO - AC01224;10/07/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 5/8"" (5m)";2,02;kg;75,00;151,50
AEMFLO - 3 PAVTO - AC01224;10/07/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 3/8""";6,00;m;9,41;56,46
AEMFLO - 3 PAVTO - AC01224;10/07/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 5/8""";6,00;m;11,07;66,42
AEMFLO - 3 PAVTO - AC01224;10/07/2024;REDE FRIGORIGENA;Gás Acetileno;1,00;unid;100,00;100,00
AEMFLO - 3 PAVTO - AC01224;10/07/2024;REDE FRIGORIGENA;Gás oxigenio;1,00;unid;100,00;100,00
AEMFLO - 3 PAVTO - AC01224;10/07/2024;DUTOS / DIFUSÃO DE AR;"GRELHA DE INSUFLAMENTO ""DUPLA DEFLEXÃO"" COM REGISTRO DE VAZÃO.
DIM:425X165MM. REF: VAT-DG, TROX";28,00;pc;190,18;5.325,04
AEMFLO - 3 PAVTO - AC01224;10/07/2024;DUTOS / DIFUSÃO DE AR;"DIFUSOR DE INSUFLAMENTO ""4 DIREÇÕES"" COM CAIXA PLENO E REGISTRO DE VAZÃO. TAMANHO 3. REF: ADLQ-AG, TROX";4,00;pc;350,00;1.400,00
AEMFLO - 3 PAVTO - AC01224;10/07/2024;DUTOS / DIFUSÃO DE AR;REGISTRO BORBOLETA Ø150mm PARA CONTROLE DE VAZÃO;4,00;pc;50,00;200,00
AEMFLO - 3 PAVTO - AC01224;10/07/2024;DUTOS / DIFUSÃO DE AR;Difusor PVC 125;6,00;pç;35,00;210,00
AEMFLO - 3 PAVTO - AC01224;10/07/2024;DUTOS / DIFUSÃO DE AR;GRELHA COM REGISTRO CENTRAL EM PVC Ø200MM. REF:VENTIDEC DVK 200, MULTIVAC;6,00;pc;121,25;727,50
AEMFLO - 3 PAVTO - AC01224;10/07/2024;DUTO;Isolamento interno em polietileno 5mm (primeiros 5m);51,00;m²;8,00;408,00
AEMFLO - 3 PAVTO - AC01224;10/07/2024;DUTO;Materiais diversos (suportes, fixações, parafusos, porcas, arruelas, fitas, etc.);1,00;vb;500,00;500,00
AEMFLO - 3 PAVTO - AC01224;10/07/2024;CONTROLE E ELÉTRICA;Cabo BUS (Cabo blindado 3x18 AWG) (VRF);6,00;m;10,50;63,00
AEMFLO - 4° PAV - AC06224-R1;20/02/2025;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/8"" (20m)";4,50;kg;90,00;405,00
AEMFLO - 4° PAV - AC06224-R1;20/02/2025;REDE FRIGORIGENA;"Tubo de cobre diâmetro 7/8"" (20m)";10,90;kg;105,00;1.144,50
AEMFLO - 4° PAV - AC06224-R1;20/02/2025;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 3/8""";26,00;m;12,00;312,00
AEMFLO - 4° PAV - AC06224-R1;20/02/2025;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 7/8""";26,00;m;16,00;416,00
AEMFLO - 4° PAV - AC06224-R1;20/02/2025;REDE FRIGORIGENA;Gás nitrogênio;1,00;unid.;180,00;180,00
AEMFLO - 4° PAV - AC06224-R1;20/02/2025;REDE FRIGORIGENA;Gás acetileno;1,00;unid.;100,00;100,00
AEMFLO - 4° PAV - AC06224-R1;20/02/2025;REDE FRIGORIGENA;Gás Oxigenio;1,00;unid.;100,00;100,00
AEMFLO - 4° PAV - AC06224-R1;20/02/2025;REDE FRIGORIGENA;Gás R410a. Ref.: DuPont (VRF);11,30;kg;95,00;1.073,50
AEMFLO - 4° PAV - AC06224-R1;20/02/2025;REDE FRIGORIGENA;Cola para espuma elastomérica. Ref.: Armacell Armaflex 520 S 0,9 L;1,00;litros;120,00;120,00
AEMFLO - 4° PAV - AC06224-R1;20/02/2025;REDE FRIGORIGENA;Materiais diversos (suportes, fixações, parafusos, porcas, arruelas, fitas, etc.);14,00;cj;8,00;112,00
AEMFLO - 4° PAV - AC06224-R1;20/02/2025;DUTOS / DIFUSÃO DE AR;"Difusor direcional - Vazão: 1080m³/h - Ref.: Triar DQ-4V-RG 15""x15""";4,00;Unid.;271,00;1.084,00
AEMFLO - 4° PAV - AC06224-R1;20/02/2025;DUTOS / DIFUSÃO DE AR;Grelha para insuflamento - Vazão: 1080m³/h - Ref.: Triar GH 500x400mm;8,00;Unid.;129,00;1.032,00
